Entity,Type,Description,Priority,Sources,Location,Industries,Funding Amount
Villgro,Entity,Social-impact-focused incubator that helps refine business models to align with specific goals,0.8,"https://www.thehotstartups.com/p/top-incubators-and-accelerators-for-startups-in-india, https://www.linkedin.com/posts/avinashmohanty_15-best-startup-accelerators-and-incubators-activity-7354484324030697474-dJ2v",India | Chennai,Social Impact | Social entrepreneurship,
Startup Oasis,Entity,"Incubator that targets specific regions, offering resources beneficial for local startups",0.8,"https://www.thehotstartups.com/p/top-incubators-and-accelerators-for-startups-in-india, https://www.linkedin.com/posts/avinashmohanty_15-best-startup-accelerators-and-incubators-activity-7354484324030697474-dJ2v",India | Jaipur,Regional Focus | Rajasthan-focused,
iCreate,Entity,"Incubator that targets specific regions, offering resources beneficial for local startups",0.7,https://www.thehotstartups.com/p/top-incubators-and-accelerators-for-startups-in-india,India,Regional Focus,
GSF,Entity,Accelerator ideal for startups ready to scale and refine their product and business approach,0.9,https://www.thehotstartups.com/p/top-incubators-and-accelerators-for-startups-in-india,India,Scaling Startups,
"NASSCOM’s 10,000 Startups",Entity,Accelerator ideal for startups ready to scale and refine their product and business approach,0.9,https://www.thehotstartups.com/p/top-incubators-and-accelerators-for-startups-in-india,India,Scaling Startups,
Target Corp Accelerator,Entity,"A startup accelerator run by Target Corp, a multinational major, in India.",0.8,https://ventureburn.com/2015/03/20-startup-accelerators-india-know/,India,Multi-industry,
PayPal Accelerator,Entity,"A startup accelerator run by PayPal, a multinational major, in India.",0.8,https://ventureburn.com/2015/03/20-startup-accelerators-india-know/,India,Fintech,
500 Startups Accelerator in India,Entity,Startup accelerator program in India,0.9,https://eximiusvc.com/blogs/top-10-startup-accelerators-in-india/,India,,
Cisco Launchpad Startup Accelerator in India,Entity,Startup accelerator program in India,0.9,https://eximiusvc.com/blogs/top-10-startup-accelerators-in-india/,India,,
CIIE.CO,Entity,"A leading incubator and accelerator in India, supporting startups in various industries.",0.9,https://www.linkedin.com/posts/avinashmohanty_15-best-startup-accelerators-and-incubators-activity-7354484324030697474-dJ2v,Multiple locations,Diverse,
"NASSCOM 10,000 Startups",Entity,"A program by NASSCOM to support startups in India, providing funding, mentorship, and networking opportunities.",0.9,https://www.linkedin.com/posts/avinashmohanty_15-best-startup-accelerators-and-incubators-activity-7354484324030697474-dJ2v,Multiple locations,Diverse,Varies
